病院コード,病院名,都道府県,構想区域,2022_総病床数,2022_高度急性期,2022_急性期,2022_回復期,2022_慢性期,2023_総病床数,2023_高度急性期,2023_急性期,2023_回復期,2023_慢性期,2024_総病床数,2024_高度急性期,2024_急性期,2024_回復期,2024_慢性期
2424010002,三重県厚生農業協同組合連合会 三重北医療センター いなべ総合病院,三重,桑員,220,6,214,0,0,220,6,160,0,0,220,6,214,0,0
2424020036,武内病院,三重,津市,180,0,132,48,0,180,0,180,0,0,180,0,132,48,0
2424030010,医療法人桜木記念病院,三重,松阪市,60,0,0,0,60,120,0,0,0,120,60,0,0,0,60
2626040187,医療法人明生会賀茂病院,京都,京都市北区,59,0,0,0,59,84,0,0,0,84,59,0,0,0,59
2626040194,一般財団法人仁風会京都南西病院,京都,京都市伏見区,76,0,0,38,38,152,0,0,76,76,76,0,0,38,38
2626050011,医療法人社団医聖会八幡中央病院,京都,八幡市,202,0,0,98,104,176,0,0,98,78,202,0,0,98,104
2626050083,医療法人仁心会宇治川病院,京都,山城北,179,0,0,0,179,180,0,0,0,180,179,0,0,0,179
4141010083,独立行政法人地域医療機能推進機構佐賀中部病院,佐賀,中部,160,0,160,0,0,160,0,116,44,0,160,0,160,0,0
2828010017,みどり病院,兵庫,神戸,108,0,108,0,0,108,0,54,54,0,108,0,108,0,0
2828010076,社会医療法人社団 正峰会 神戸大山病院,兵庫,神戸,120,0,71,49,0,120,0,36,84,0,120,0,71,49,0
2828010093,神戸市立医療センター中央市民病院,兵庫,神戸,750,750,0,0,0,786,786,0,0,0,750,750,0,0,0
2828010128,舞子台病院,兵庫,神戸市垂水区,180,0,0,60,120,120,0,0,60,60,180,0,0,60,120
2828020048,社会医療法人愛仁会 尼崎だいもつ病院,兵庫,阪神,199,0,0,170,29,199,0,0,199,0,199,0,0,170,29
2828020075,布谷整形外科病院,兵庫,西宮市,139,0,33,0,106,139,0,0,0,139,139,0,33,0,106
2828030033,三田市民病院,兵庫,阪神,300,7,293,0,0,300,7,243,0,0,300,7,293,0,0
2828040022,医療法人社団仙齢会はりま病院,兵庫,東播磨,89,0,89,0,0,89,0,39,50,0,89,0,89,0,0
2828040057,明石仁十病院,兵庫,明石市,149,0,29,20,100,249,0,29,20,200,149,0,29,20,100
2828040066,私立稲美中央病院,兵庫,稲美町,134,0,50,30,54,188,0,50,30,108,134,0,50,30,54
2828050026,服部病院,兵庫,三木市,179,0,93,36,50,179,0,45,84,50,179,0,93,36,50
2828050028,北播磨総合医療センター,兵庫,北播磨,450,36,404,0,0,450,36,304,0,0,450,36,404,0,0
2828060008,医療法人財団清良会書写病院,兵庫,姫路市,92,0,0,0,92,92,0,0,46,46,92,0,0,0,92
2828070005,医療法人　仁徳会　とくなが病院,兵庫,たつの市,109,0,56,0,53,162,0,56,0,106,109,0,56,0,53
101010048,社会福祉法人北海道社会事業協会函館病院,北海道,函館市,286,0,48,90,148,286,0,94,44,148,286,0,48,90,148
101040041,医療法人為久会 札幌共立五輪橋病院,北海道,札幌,188,0,170,0,18,188,0,188,0,0,188,0,170,0,18
101040089,医療法人社団豊友会千歳豊友会病院,北海道,千歳市,134,0,36,59,39,193,0,36,118,39,134,0,36,59,39
101040145,医療法人社団翔嶺館 札幌優翔館病院,北海道,札幌市北区,134,0,38,48,48,134,0,38,96,0,134,0,38,48,48
101040212,医療法人社団翔仁会輪厚三愛病院,北海道,北広島市,146,0,59,0,87,233,0,59,0,174,146,0,59,0,87
101040258,江別市立病院,北海道,札幌,278,0,238,0,0,278,0,278,0,0,278,0,238,0,0
101040280,時計台記念病院,北海道,札幌,225,0,150,75,0,225,0,183,42,0,225,0,150,75,0
101040281,自衛隊札幌病院,北海道,札幌,119,0,99,0,0,119,0,119,0,0,170,0,99,0,0
101040287,社会医療法人北楡会 札幌北楡病院,北海道,札幌,281,8,244,29,0,281,37,244,0,0,281,8,244,29,0
101040322,長生会病院,北海道,札幌市北区,74,0,0,0,74,120,0,0,0,120,74,0,0,0,74
101040420,社会医療法人恵佑会札幌病院,北海道,札幌,229,0,209,0,20,229,0,209,20,0,229,0,209,0,20
101170016,医療法人社団双心会女満別中央病院,北海道,大空町,82,0,42,0,40,164,0,84,0,80,82,0,42,0,40
101170032,置戸赤十字病院,北海道,置戸町,95,0,0,0,95,143,0,0,0,143,95,0,0,0,95
1212010025,医療法人社団誠馨会 千葉メディカルセンター,千葉,千葉,348,14,334,0,0,346,12,334,0,0,348,14,334,0,0
1212010031,医療法人社団創進会みつわ台総合病院,千葉,千葉,261,0,205,50,0,261,0,167,50,0,261,0,205,50,0
1212010062,千葉大学医学部附属病院,千葉,千葉,800,775,25,0,0,800,734,25,0,0,800,775,25,0,0
1212030018,医療法人社団葵会柏たなか病院,千葉,柏市,512,8,126,60,318,512,8,126,120,258,512,8,126,60,318
1212030059,松戸市立総合医療センター,千葉,東葛北部,592,72,520,0,0,592,105,487,0,0,592,72,520,0,0
1212090015,医療法人社団白金会リハビリテーション病院さらしな,千葉,市原市,120,0,0,120,0,240,0,0,240,0,120,0,0,120,0
1111010010,医療法人財団啓明会中島病院,埼玉,戸田市,111,0,66,0,45,111,0,39,27,45,111,0,66,0,45
1111010017,医療法人社団厚生会埼玉厚生病院,埼玉,川口市,108,0,55,0,53,161,0,0,0,161,108,0,55,0,53
1111030019,医療法人社団愛友会三郷中央総合病院,埼玉,東部,289,8,223,58,0,289,8,223,0,58,289,8,223,58,0
1111030052,埼玉みさと総合リハビリテーション病院,埼玉,三郷市,175,0,0,175,0,290,0,0,290,0,175,0,0,175,0
1111050005,医療法人社団愛友会上尾中央第二病院,埼玉,上尾市,186,0,0,32,154,186,0,0,47,139,186,0,0,32,154
1111060032,丸木記念福祉メディカルセンター,埼玉,川越比企,228,0,0,208,20,228,0,0,160,68,228,0,0,208,20
1111070027,医療法人西狭山病院,埼玉,西部,41,0,0,0,41,41,0,0,41,0,41,0,0,0,41
1111080030,社会医療法人壮幸会行田総合病院,埼玉,行田市,504,10,300,140,54,504,55,255,140,54,504,10,300,140,54
1111090016,医療法人三光会そのベ病院,埼玉,本庄市,51,0,22,0,29,80,0,0,0,80,51,0,22,0,29
