病院コード,病院名,都道府県,構想区域,異常パターン,R4(2022)_高度急性期,R4(2022)_急性期,R4(2022)_回復期,R4(2022)_慢性期,R4(2022)_合計,R5(2023)_高度急性期,R5(2023)_急性期,R5(2023)_回復期,R5(2023)_慢性期,R5(2023)_合計,R6(2024)_高度急性期,R6(2024)_急性期,R6(2024)_回復期,R6(2024)_慢性期,R6(2024)_合計,R4_R6_完全一致,R5のみ異なる
1010020051,二之沢病院,群馬,高崎市,A: 総数が約2倍（二重カウント疑い）,0,0,0,120,120,0,0,0,240,240,0,0,0,120,120,YES,YES
1010050006,西毛病院,群馬,富岡市,A: 総数が約2倍（二重カウント疑い）,0,0,0,50,50,0,0,0,100,100,0,0,0,50,50,YES,YES
101170016,医療法人社団双心会女満別中央病院,北海道,大空町,A: 総数が約2倍（二重カウント疑い）,0,42,0,40,82,0,84,0,80,164,0,42,0,40,82,YES,YES
1212090015,医療法人社団白金会リハビリテーション病院さらしな,千葉,市原市,A: 総数が約2倍（二重カウント疑い）,0,0,120,0,120,0,0,240,0,240,0,0,120,0,120,YES,YES
1414100021,医療法人社団清伸会 ふじの温泉病院,神奈川,相模原市緑区,A: 総数が約2倍（二重カウント疑い）,0,0,0,216,216,0,0,0,432,432,0,0,0,216,216,YES,YES
2020040002,医療法人暁会 仁愛病院,長野,伊那市,A: 総数が約2倍（二重カウント疑い）,0,73,0,94,167,0,167,0,167,334,0,73,0,94,167,YES,YES
2323120019,医療法人聖俊会 樋口病院,愛知,豊川市,A: 総数が約2倍（二重カウント疑い）,0,0,0,43,43,0,0,0,86,86,0,0,0,43,43,YES,YES
2424030010,医療法人桜木記念病院,三重,松阪市,A: 総数が約2倍（二重カウント疑い）,0,0,0,60,60,0,0,0,120,120,0,0,0,60,60,YES,YES
2626040194,一般財団法人仁風会京都南西病院,京都,京都市伏見区,A: 総数が約2倍（二重カウント疑い）,0,0,38,38,76,0,0,76,76,152,0,0,38,38,76,YES,YES
3333020033,医療法人仁徳会森下病院,岡山,総社市,A: 総数が約2倍（二重カウント疑い）,0,0,38,26,64,0,0,64,64,128,0,0,38,26,64,YES,YES
3636010099,中瀬病院,徳島,徳島市,A: 総数が約2倍（二重カウント疑い）,0,0,0,45,45,0,0,0,90,90,0,0,0,45,45,YES,YES
4646070020,松下病院,鹿児島,霧島市,A: 総数が約2倍（二重カウント疑い）,0,0,0,44,44,0,0,88,0,88,0,0,0,44,44,YES,YES
4646070021,医療法人仁心会　福山病院,鹿児島,霧島市,A: 総数が約2倍（二重カウント疑い）,0,0,0,24,24,0,0,0,48,48,0,0,0,24,24,YES,YES
101040145,医療法人社団翔嶺館 札幌優翔館病院,北海道,札幌市北区,B: 総数同等・機能区分変動（回復期・慢性期）,0,38,48,48,134,0,38,96,0,134,0,38,48,48,134,YES,YES
101040420,社会医療法人恵佑会札幌病院,北海道,札幌,B: 総数同等・機能区分変動（回復期・慢性期）,0,209,0,20,229,0,209,20,0,229,0,209,0,20,229,YES,YES
1111030019,医療法人社団愛友会三郷中央総合病院,埼玉,東部,B: 総数同等・機能区分変動（回復期・慢性期）,8,223,58,0,289,8,223,0,58,289,8,223,58,0,289,YES,YES
1111050005,医療法人社団愛友会上尾中央第二病院,埼玉,上尾市,B: 総数同等・機能区分変動（回復期・慢性期）,0,0,32,154,186,0,0,47,139,186,0,0,32,154,186,YES,YES
1111060032,丸木記念福祉メディカルセンター,埼玉,川越比企,B: 総数同等・機能区分変動（回復期・慢性期）,0,0,208,20,228,0,0,160,68,228,0,0,208,20,228,YES,YES
1111070027,医療法人西狭山病院,埼玉,西部,B: 総数同等・機能区分変動（回復期・慢性期）,0,0,0,41,41,0,0,41,0,41,0,0,0,41,41,YES,YES
1212030018,医療法人社団葵会柏たなか病院,千葉,柏市,B: 総数同等・機能区分変動（回復期・慢性期）,8,126,60,318,512,8,126,120,258,512,8,126,60,318,512,YES,YES
1313010046,公益財団法人ライフ・エクステンション研究所付属永寿総合病院,東京,区中央部,B: 総数同等・機能区分変動（回復期・慢性期）,8,376,16,0,400,8,376,0,16,400,8,376,16,0,400,YES,YES
1515070005,厚生連佐渡総合病院,新潟,佐渡,B: 総数同等・機能区分変動（回復期・慢性期）,0,190,100,0,290,0,190,50,50,290,0,190,100,0,290,YES,YES
1818040007,泉ヶ丘病院,福井,敦賀市,B: 総数同等・機能区分変動（回復期・慢性期）,0,39,44,33,116,0,39,0,77,116,0,39,44,33,116,YES,YES
2222060009,医療法人社団綾和会 駿河西病院,静岡,焼津市,B: 総数同等・機能区分変動（回復期・慢性期）,0,0,50,100,150,0,0,0,150,150,0,0,50,100,150,YES,YES
2222070004,医療法人弘遠会 すずかけヘルスケアホスピタル,静岡,磐田市,B: 総数同等・機能区分変動（回復期・慢性期）,0,0,106,54,160,0,0,160,0,160,0,0,106,54,160,YES,YES
2525010005,医療法人華頂会琵琶湖養育院病院,滋賀,大津市,B: 総数同等・機能区分変動（回復期・慢性期）,0,0,43,111,154,0,0,0,154,154,0,0,43,111,154,YES,YES
2727080074,医療法人燦恵会首藤病院,大阪,大阪市福島区,B: 総数同等・機能区分変動（回復期・慢性期）,0,0,0,86,86,0,0,42,44,86,0,0,0,86,86,YES,YES
2828020048,社会医療法人愛仁会 尼崎だいもつ病院,兵庫,阪神,B: 総数同等・機能区分変動（回復期・慢性期）,0,0,170,29,199,0,0,199,0,199,0,0,170,29,199,YES,YES
2828060008,医療法人財団清良会書写病院,兵庫,姫路市,B: 総数同等・機能区分変動（回復期・慢性期）,0,0,0,92,92,0,0,46,46,92,0,0,0,92,92,YES,YES
3737040042,多度津三宅病院,香川,西部,B: 総数同等・機能区分変動（回復期・慢性期）,0,0,0,29,29,0,0,29,0,29,0,0,0,29,29,YES,YES
3838020011,横山病院,愛媛,西条市,B: 総数同等・機能区分変動（回復期・慢性期）,0,0,0,36,36,0,0,36,0,36,0,0,0,36,36,YES,YES
3838050009,医療法人青峰会 真網代くじらリハビリテーション病院,愛媛,八幡浜市,B: 総数同等・機能区分変動（回復期・慢性期）,0,0,46,43,89,0,0,89,0,89,0,0,46,43,89,YES,YES
3939020081,山村病院,高知,高知市,B: 総数同等・機能区分変動（回復期・慢性期）,0,0,0,33,33,0,0,33,0,33,0,0,0,33,33,YES,YES
4040010116,医療法人南川整形外科病院,福岡,福岡市西区,B: 総数同等・機能区分変動（回復期・慢性期）,0,60,0,57,117,0,60,57,0,117,0,60,0,57,117,YES,YES
4040090022,医療法人博愛会 頴田病院,福岡,飯塚市,B: 総数同等・機能区分変動（回復期・慢性期）,0,32,64,0,96,0,32,28,36,96,0,32,64,0,96,YES,YES
404030131,独立行政法人国立病院機構仙台西多賀病院,宮城,仙台,B: 総数同等・機能区分変動（回復期・慢性期）,0,50,100,290,440,0,50,50,340,440,0,50,100,290,440,YES,YES
4343010017,くまもと成仁病院,熊本,熊本市東区,B: 総数同等・機能区分変動（回復期・慢性期）,0,0,87,93,180,0,0,50,130,180,0,0,87,93,180,YES,YES
4444090012,医療法人興仁会桑尾病院,大分,宇佐市,B: 総数同等・機能区分変動（回復期・慢性期）,0,0,0,32,32,0,0,32,0,32,0,0,0,32,32,YES,YES
808070019,茨城県立医療大学付属病院,茨城,取手・竜ヶ崎,B: 総数同等・機能区分変動（回復期・慢性期）,0,0,120,0,120,0,0,47,73,120,0,0,120,0,120,YES,YES
1010030010,北毛保健生活協同組合北毛病院,群馬,渋川市,B: 総数同等・機能区分変動（急性期・回復期）,0,100,0,50,150,0,50,50,50,150,0,100,0,50,150,YES,YES
101010048,社会福祉法人北海道社会事業協会函館病院,北海道,函館市,B: 総数同等・機能区分変動（急性期・回復期）,0,48,90,148,286,0,94,44,148,286,0,48,90,148,286,YES,YES
101040280,時計台記念病院,北海道,札幌,B: 総数同等・機能区分変動（急性期・回復期）,0,150,75,0,225,0,183,42,0,225,0,150,75,0,225,YES,YES
1111010010,医療法人財団啓明会中島病院,埼玉,戸田市,B: 総数同等・機能区分変動（急性期・回復期）,0,66,0,45,111,0,39,27,45,111,0,66,0,45,111,YES,YES
1313030007,医療法人財団日扇会 第一病院,東京,区西南部,B: 総数同等・機能区分変動（急性期・回復期）,0,0,46,0,46,0,46,0,0,46,0,0,46,0,46,YES,YES
1313040083,一般社団法人ＩＣＲ附属 クリニカルリサーチ東京病院,東京,区西部,B: 総数同等・機能区分変動（急性期・回復期）,0,0,50,0,50,0,50,0,0,50,0,0,50,0,50,YES,YES
1313090027,医療法人社団玉栄会東京天使病院,東京,南多摩,B: 総数同等・機能区分変動（急性期・回復期）,0,39,83,0,122,0,0,122,0,122,0,39,83,0,122,YES,YES
1414020040,社会福祉法人 親善福祉協会 国際親善総合病院,神奈川,横浜,B: 総数同等・機能区分変動（急性期・回復期）,6,247,34,0,287,6,281,0,0,287,6,247,34,0,287,YES,YES
1414080022,社会福祉法人 恩賜財団済生会支部 神奈川県済生会湘南平塚病院,神奈川,湘南西部,B: 総数同等・機能区分変動（急性期・回復期）,0,42,134,0,176,0,88,88,0,176,0,42,134,0,176,YES,YES
1414090020,医療法人社団昌栄会 相武台病院,神奈川,座間市,B: 総数同等・機能区分変動（急性期・回復期）,0,40,0,159,199,0,0,40,159,199,0,40,0,159,199,YES,YES
2020070011,塩尻協立病院,長野,塩尻市,B: 総数同等・機能区分変動（急性期・回復期）,0,0,42,57,99,0,42,0,57,99,0,0,42,57,99,YES,YES
2323070005,愛知県厚生農業協同組合連合会知多厚生病院,愛知,知多半島,B: 総数同等・機能区分変動（急性期・回復期）,0,108,85,0,193,0,162,31,0,193,0,108,85,0,193,YES,YES
