"ID","正式名称","正式名称（フリガナ）","略称","略称（フリガナ）","英語表記（ローマ字表記）","機関区分","都道府県コード","市区町村コード","所在地","所在地座標（緯度）","所在地座標（経度）","案内用ホームページアドレス","毎週決まった曜日に休診（月）","毎週決まった曜日に休診（火）","毎週決まった曜日に休診（水）","毎週決まった曜日に休診（木）","毎週決まった曜日に休診（金）","毎週決まった曜日に休診（土）","毎週決まった曜日に休診（日）","決まった週に休診（定期週）第1週（月）","決まった週に休診（定期週）第1週（火）","決まった週に休診（定期週）第1週（水）","決まった週に休診（定期週）第1週（木）","決まった週に休診（定期週）第1週（金）","決まった週に休診（定期週）第1週（土）","決まった週に休診（定期週）第1週（日）","決まった週に休診（定期週）第2週（月）","決まった週に休診（定期週）第2週（火）","決まった週に休診（定期週）第2週（水）","決まった週に休診（定期週）第2週（木）","決まった週に休診（定期週）第2週（金）","決まった週に休診（定期週）第2週（土）","決まった週に休診（定期週）第2週（日）","決まった週に休診（定期週）第3週（月）","決まった週に休診（定期週）第3週（火）","決まった週に休診（定期週）第3週（水）","決まった週に休診（定期週）第3週（木）","決まった週に休診（定期週）第3週（金）","決まった週に休診（定期週）第3週（土）","決まった週に休診（定期週）第3週（日）","決まった週に休診（定期週）第4週（月）","決まった週に休診（定期週）第4週（火）","決まった週に休診（定期週）第4週（水）","決まった週に休診（定期週）第4週（木）","決まった週に休診（定期週）第4週（金）","決まった週に休診（定期週）第4週（土）","決まった週に休診（定期週）第4週（日）","決まった週に休診（定期週）第5週（月）","決まった週に休診（定期週）第5週（火）","決まった週に休診（定期週）第5週（水）","決まった週に休診（定期週）第5週（木）","決まった週に休診（定期週）第5週（金）","決まった週に休診（定期週）第5週（土）","決まった週に休診（定期週）第5週（日）","祝日に休診","その他の休診日（gw、お盆等）","一般病床","療養病床","療養病床のうち医療保険適用","療養病床のうち介護保険適用","精神病床","結核病床","感染症病床","合計病床数"
"0111010000010","札幌医科大学附属病院","サッポロイカダイガクフゾクビョウイン","札医大","サツイダイ","Sapporo Medical University Hospital","1","01","101","北海道札幌市中央区南１条西１６丁目２９１番地","0","0","https://web.sapmed.ac.jp/hospital/","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","01月01日，01月02日，01月03日，12月29日，12月30日，12月31日","821","","","","32","","","853"
"0111010000020","市立札幌病院","シリツサッポロビョウイン","市立札幌病院","シリツサッポロビョウイン","Sapporo City General Hospital","1","01","101","北海道札幌市中央区北１１条西１３丁目１番１号","0","0","http://www.city.sapporo.jp/hospital/","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","01月01日，01月02日，01月03日，12月29日，12月30日，12月31日","626","","","","38","","8","672"
"0111010000030","ＪＡ北海道厚生連　札幌厚生病院","ジェイエイホッカイドウコウセイレンサッポロコウセイビョウイン","ＪＡ北海道厚生連札幌厚生病院","ジェイエイホッカイドウコウセイレンサッポロコウセイビョウイン","Sapporo Kousei Byoin","1","01","101","北海道札幌市中央区北３条東８丁目５番地","43.067520","141.369151","http://www.dou-kouseiren.com//byouin/sapporo","1","1","1","1","1","0","0","1","1","1","1","1","0","0","1","1","1","1","1","0","0","1","1","1","1","1","0","0","1","1","1","1","1","0","0","1","1","1","1","1","0","0","0","01月01日，01月02日，01月03日，12月30日，12月31日","516","","","","","","","516"
"0111010000050","ＪＲ札幌病院","ジェイアールサッポロビョウイン","ＪＲ札幌病院","ジェイアールサッポロビョウイン","JR SAPPORO HOSPITAL","1","01","101","北海道札幌市中央区北３条東１丁目１番地","0","0","https://hospital.jrhokkaido.co.jp","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","01月01日，01月02日，01月03日，12月30日，12月31日","312","","","","","","","312"
"0111010000060","ＮＴＴ東日本札幌病院","エヌティティヒガシニホンサッポロビョウイン","ＮＴＴ東日本札幌病院","エヌティティヒガシニホンサッポロビョウイン","NTT Medical Center Sapporo","1","01","101","北海道札幌市中央区南１条西１５丁目２９０番地","0","0","https://nmcs.ntt-east.co.jp/index.html","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","01月01日，01月02日，01月03日，12月29日，12月30日，12月31日","301","","","","","","","301"
"0111010000110","社会医療法人医仁会中村記念病院","シャカイイリョウホウジンイジンカイ　ナカムラキネンビョウイン","中村記念病院","ナカムラキネンビョウイン","Nakamura Memorial Hospital","1","01","101","北海道札幌市中央区南１条西１４丁目２９１番地１９０","0","0","http://www.nmh.or.jp/","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","0","0","01月01日，01月02日，01月03日，12月31日","499","","","","","","","499"
"0111010000130","医療法人社団ＣＨＣＰヘルスケアシステム桑園中央病院","イリョウホウジンシャダン　シーエイチシーピーヘルスケアシステム　ソウエンチュウオウビョウイン","桑園中央病院","ソウエンチュウオウビョウイン","SOUEN CENTRAL HOSPITAL","1","01","101","北海道札幌市中央区北８条西１６丁目２８番３５号","0","0","http://sch-hospital.com/","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","01月01日，01月02日，01月03日，12月30日，12月31日","38","30","","","","","","68"
"0111010000170","医療法人北仁会旭山病院","イリョウホウジンホクジンカイアサヒヤマビョウイン","旭山病院","アサヒヤマビョウイン","AsahiyamaHospital","1","01","101","北海道札幌市中央区双子山　４丁目３番３３号","43.041605","141.311962","http://www.hokujin.or.jp/asahiyama/","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","01月01日，01月02日，01月03日，12月30日，12月31日","","","","","329","","","329"
"0111010000210","札幌南一条病院","サッポロミナミイチジョウビョウイン","札幌南一条病院","サッポロミナミイチジョウビョウイン","SAPPORO MINAMIICHIJO HOSPITAL","1","01","101","北海道札幌市中央区南１条西１３丁目３１７番地１","0","0","http://www.h-keiaikai.or.jp/minamiichijo/","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","01月01日，01月02日，01月03日，12月30日，12月31日","147","","","","","","","147"
"0111010000230","札幌西円山病院","サッポロニシマルヤマビョウイン","札幌西円山病院","サッポロニシマルヤマビョウイン","Sapporo Nishimaruyama Hospital","1","01","101","北海道札幌市中央区円山西町４丁目７番２５号","43.039966","141.303236","http://www.keijinkai.com/nishimaruyama/","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","01月01日，01月02日，01月03日，12月30日，12月31日","469","134","134","0","","","","603"
"0111010000240","医療法人社団明日佳　札幌明日佳病院","イリョウホウジンシャダンアスカ　サッポロアスカビョウイン","札幌明日佳病院","サッポロアスカビョウイン","IryouhouzinshadanAsukaSapporoasukaHospital","1","01","101","北海道札幌市中央区宮の森　１条１７丁目１番２５号","43.043133","141.292825","http://www.asuka-gp.or.jp/sapporo/","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","01月01日，01月02日，01月03日，12月30日，12月31日","","243","243","","","","","243"
"0111010000300","医療法人社団心和会心和病院","イリョウホウジンシャダンシンワカイシンワビョウイン","心和病院","シンワビョウイン","Shinwa Hospital","1","01","101","北海道札幌市中央区南１３条西２０丁目１番６号","43.041606","141.329183","http://www.shinwahp.jp/","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","01月02日，01月03日，12月31日","40","","","","","","","40"
"0111010000330","医療法人　萬田記念病院","イリョウホウジン　マンダキネンビョウイン","医療法人　萬田記念病院","イリョウホウジン　マンダキネンビョウイン","Manda Memorial Hospital Medical Corporation","1","01","101","北海道札幌市中央区南２条西１丁目１番地","43.058799","141.357180","http://www.manda.or.jp","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","0","0","01月01日，01月02日，01月03日，12月31日","89","","","","","","","89"
"0111010000340","特定医療法人　平成会　平成会病院","トクテイイリョウホウジン　ヘイセイカイ　　ヘイセイカイビョウイン","平成会病院","ヘイセイカイビョウイン","Heiseikai Hospital","1","01","101","北海道札幌市中央区北１条西１８丁目１番１","0","0","http://www.heisei-hospital.jp","1","1","1","1","1","0","0","1","1","1","1","1","0","0","1","1","1","1","1","0","0","1","1","1","1","1","0","0","1","1","1","1","1","0","0","1","1","1","1","1","0","0","0","01月01日，01月02日，01月03日，12月29日，12月30日，12月31日","82","","","","","","","82"
