令和5年,介護サービス施設・事業所調査,令和5年10月1日,
閲覧表　介護保険施設,【詳細票】　第４５表　介護医療院数，都道府県、開設年月別
,総　　　数,平成30年,平成31年、令和元年,令和2年,令和3年,令和4年,令和5年
,,,,,,,
,,,,,,,
　　全　　　国,791,105,191,259,99,84,53
　　北　海　道,44,5,8,16,9,4,2
　　青　　　森,11,1,5,-,2,1,1
　　岩　　　手,4,-,-,2,1,-,1
　　宮　　　城,4,-,-,4,-,-,-
　　秋　　　田,7,1,1,1,3,-,1
　　山　　　形,3,-,1,1,-,1,-
　　福　　　島,14,2,6,5,-,1,-
　　茨　　　城,9,1,1,1,2,3,-
　　栃　　　木,9,-,2,1,1,3,2
　　群　　　馬,11,3,4,2,1,-,-
　　埼　　　玉,18,3,3,4,1,3,3
　　千　　　葉,14,-,5,4,1,2,1
　　東　　　京,25,-,6,10,2,5,1
　　神　奈　川,15,-,4,3,4,3,3
　　新　　　潟,18,-,1,11,2,2,2
　　富　　　山,27,8,10,5,-,2,2
　　石　　　川,16,3,5,7,-,1,-
　　福　　　井,8,1,4,1,-,-,1
　　山　　　梨,3,2,-,-,2,-,-
　　長　　　野,15,2,2,4,6,1,-
　　岐　　　阜,11,1,1,3,1,3,1
　　静　　　岡,27,7,6,11,2,1,-
　　愛　　　知,24,6,6,5,4,1,1
　　三　　　重,6,-,1,3,2,-,-
　　滋　　　賀,4,-,2,1,1,-,-
　　京　　　都,22,-,9,7,2,3,1
　　大　　　阪,17,2,2,5,2,-,5
　　兵　　　庫,27,2,8,8,4,2,3
　　奈　　　良,8,3,-,2,1,1,1
　　和　歌　山,10,-,2,4,1,1,2
　　鳥　　　取,12,2,7,2,-,-,2
　　島　　　根,10,3,3,4,-,-,-
　　岡　　　山,19,4,6,8,-,1,-
　　広　　　島,36,3,8,11,4,7,3
　　山　　　口,25,8,3,10,-,2,1
　　徳　　　島,19,4,6,5,2,2,-
　　香　　　川,8,2,-,4,1,1,-
　　愛　　　媛,15,-,3,7,2,2,1
　　高　　　知,33,3,5,18,6,1,-
　　福　　　岡,42,1,22,12,7,-,-
　　佐　　　賀,11,2,6,-,-,2,1
　　長　　　崎,14,3,-,6,3,2,-
　　熊　　　本,47,4,10,17,4,6,5
　　大　　　分,17,4,-,9,2,1,1
　　宮　　　崎,16,-,1,2,7,3,2
　　鹿　児　島,30,4,7,12,1,4,1
　　沖　　　縄,6,1,1,1,1,2,-
