令和5年,介護サービス施設・事業所調査,令和5年10月1日,
閲覧表　介護保険施設,【詳細票】　第35表　介護老人保健施設数，都道府県、開設年月別
,総　　　数,～昭和63年,昭和64年、平成元年～５年,平成６～10年,平成11～15年,平成16～20年,平成21～25年,平成26年～30年,平成31年、令和元年～
,,,,,,,,,
,,,,,,,,,
　　全　　　国,4250,64,684,1311,759,563,398,347,124
　　北　海　道,190,2,27,70,27,21,18,17,8
　　青　　　森,59,1,25,16,7,2,3,3,1
　　岩　　　手,66,3,16,22,7,7,5,4,-
　　宮　　　城,97,1,8,18,31,15,12,8,3
　　秋　　　田,55,1,10,20,9,5,4,3,2
　　山　　　形,46,-,6,20,7,4,5,3,1
　　福　　　島,87,2,11,23,13,14,15,5,3
　　茨　　　城,141,1,17,41,6,28,24,18,5
　　栃　　　木,64,2,10,25,12,5,4,3,3
　　群　　　馬,97,4,20,31,9,10,6,18,-
　　埼　　　玉,178,-,10,56,27,40,24,16,6
　　千　　　葉,165,1,18,40,37,28,17,15,8
　　東　　　京,211,-,2,55,49,46,27,20,12
　　神　奈　川,199,1,10,31,75,35,25,9,13
　　新　　　潟,104,2,17,37,16,15,11,6,1
　　富　　　山,46,3,18,10,6,2,4,1,1
　　石　　　川,45,1,16,12,6,5,2,2,-
　　福　　　井,36,-,12,8,6,3,3,2,1
　　山　　　梨,32,1,7,11,5,4,1,2,-
　　長　　　野,98,2,16,33,19,14,7,6,1
　　岐　　　阜,78,2,5,33,3,11,6,14,3
　　静　　　岡,125,-,11,24,32,22,14,18,5
　　愛　　　知,191,-,31,54,30,37,18,16,4
　　三　　　重,76,1,17,20,9,14,7,7,-
　　滋　　　賀,33,-,3,9,10,6,2,2,-
　　京　　　都,72,2,6,11,24,11,9,7,2
　　大　　　阪,226,1,15,73,54,33,21,18,10
　　兵　　　庫,175,2,23,38,41,29,17,14,10
　　奈　　　良,57,1,6,8,8,15,7,9,2
　　和　歌　山,44,1,10,16,7,2,3,1,4
　　鳥　　　取,50,-,7,11,13,4,3,11,1
　　島　　　根,37,2,11,10,7,2,2,1,1
　　岡　　　山,83,2,21,36,6,4,5,8,-
　　広　　　島,108,3,16,33,26,15,8,6,-
　　山　　　口,63,4,17,20,10,5,3,3,-
　　徳　　　島,52,2,23,18,3,-,3,1,1
　　香　　　川,50,-,10,19,8,7,3,1,1
　　愛　　　媛,68,-,16,26,14,3,4,4,1
　　高　　　知,30,-,7,16,2,3,-,2,-
　　福　　　岡,174,2,38,79,23,8,11,11,2
　　佐　　　賀,41,1,17,13,5,1,2,2,-
　　長　　　崎,61,-,13,19,16,5,4,4,-
　　熊　　　本,96,1,26,41,9,6,4,8,1
　　大　　　分,69,1,9,25,10,10,9,5,1
　　宮　　　崎,44,2,5,29,1,2,1,3,-
　　鹿　児　島,87,1,25,35,11,1,8,5,-
　　沖　　　縄,44,-,17,17,3,-,2,-,3
