令和5年,介護サービス施設・事業所調査,令和5年10月１日,
閲覧表　介護保険施設,【詳細票】　第32表　介護老人保健施設の従事者数，都道府県、職種（常勤（専従－兼務）－非常勤）別
,総　　数,,,,医師,,,,歯科医師,,,,薬剤師,,,,看護師,,,,准看護師,,,,介護職員,,,,介護福祉士(再掲),,,,支援相談員,,,,社会福祉士(再掲),,,,理学療法士,,,,作業療法士,,,,言語聴覚士,,,,管理栄養士,,,,栄養士,,,,歯科衛生士,,,,介護支援専門員,,,,調理員,,,,その他の職員,,,
,総　数,常　　勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤
,,専　従,兼　務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,
　　全　　　国,270426,169309,42489,58629,8477,2156,2949,3373,88,8,16,64,3571,154,791,2626,31640,20878,2958,7805,16486,11323,1086,4078,125091,96939,6946,21207,81612,68933,3999,8680,10931,7008,3406,518,3476,2449,869,158,14854,5172,7672,2011,9215,3323,4456,1436,2756,707,1315,734,6278,3976,1867,435,940,607,265,68,706,191,201,314,8416,3880,4157,378,8699,3682,1334,3683,22277,9306,3071,9901
　　北　海　道,11535,7765,2028,1741,266,97,106,63,1,-,-,1,63,3,17,42,1257,958,126,173,733,584,42,107,5653,4606,301,745,4016,3545,149,322,513,312,185,16,176,107,63,6,636,149,445,42,415,139,243,32,110,27,58,25,235,145,77,14,18,10,8,1,21,5,6,9,399,179,211,10,173,84,27,62,1044,466,177,401
　　青　　　森,3736,2633,596,507,101,37,33,32,1,-,-,1,50,3,6,40,282,243,9,29,307,235,41,31,1575,1384,24,166,1202,1128,15,59,157,85,68,3,36,26,8,1,109,22,76,11,189,64,109,16,42,6,28,7,85,53,27,5,33,18,14,1,12,2,5,4,114,45,66,2,194,134,29,31,487,300,59,127
　　岩　　　手,4002,3050,498,453,106,33,39,34,4,-,1,3,39,1,7,31,478,389,33,56,288,231,15,43,1843,1690,23,129,1462,1396,18,48,159,116,40,2,43,34,9,-,169,81,85,3,158,66,84,7,20,5,13,2,104,73,29,2,10,9,1,-,12,6,3,2,116,67,48,1,151,79,30,43,344,203,46,95
　　宮　　　城,6721,4662,942,1117,200,50,61,90,1,1,-,-,42,-,13,29,641,516,42,83,362,278,23,62,3307,2735,123,450,2276,1991,96,190,262,177,77,7,77,54,21,3,351,164,158,29,254,106,130,18,75,25,37,13,153,104,43,5,26,19,6,1,18,5,8,4,204,109,87,8,244,101,60,83,581,272,73,235
　　秋　　　田,3487,2593,537,357,86,35,27,25,2,-,-,2,44,4,8,32,375,295,46,33,203,171,10,22,1620,1412,88,120,1237,1142,50,45,156,94,58,4,39,33,5,-,128,45,73,10,137,70,60,6,18,4,14,-,72,57,14,1,16,12,3,1,14,8,3,3,110,46,61,2,156,105,20,31,347,234,50,64
　　山　　　形,3040,2211,462,367,98,15,38,45,1,1,-,-,7,1,2,4,324,247,17,60,159,132,5,22,1482,1322,37,123,1107,1035,28,44,128,75,48,5,33,20,11,2,123,49,58,16,151,71,73,7,20,9,8,3,67,46,20,1,18,10,8,-,8,3,3,2,119,38,81,-,153,95,31,27,182,97,33,52
　　福　　　島,5305,3504,960,841,195,33,74,88,2,-,-,2,87,3,14,70,547,431,48,69,383,268,55,60,2387,2003,120,264,1782,1556,104,122,212,125,84,3,73,48,23,2,284,90,171,23,164,55,102,7,49,12,28,9,123,67,51,4,33,20,13,-,12,1,7,4,186,72,111,3,208,132,20,57,434,192,63,178
