令和5年,介護サービス施設・事業所調査,令和5年10月１日,
閲覧表　介護保険施設,【詳細票】　第１０表　介護老人福祉施設の定員，都道府県、経営主体別
,総　数,都道府県,市区町村,広域連合・,日本赤十字社,社会福祉協議会,社会福祉法人,社団・財団法人,その他
,,,,一部事務組合,,,(社会福祉協議会以外),,
,,,,,,,,,
,,,,,,,,,
　　全　　　国,598560,-,3304,6100,773,3674,584709,-,-
　　北　海　道,26380,-,1368,-,-,659,24353,-,-
　　青　　　森,5700,-,-,-,-,91,5609,-,-
　　岩　　　手,7503,-,89,-,82,55,7277,-,-
　　宮　　　城,11058,-,-,-,-,490,10568,-,-
　　秋　　　田,7520,-,232,436,-,481,6371,-,-
　　山　　　形,7892,-,-,-,-,129,7763,-,-
　　福　　　島,12203,-,-,-,-,-,12203,-,-
　　茨　　　城,16520,-,-,-,-,103,16418,-,-
　　栃　　　木,8773,-,-,-,-,-,8773,-,-
　　群　　　馬,11105,-,-,-,-,-,11105,-,-
　　埼　　　玉,37582,-,-,-,151,-,37431,-,-
　　千　　　葉,28513,-,112,112,-,90,28198,-,-
　　東　　　京,51934,-,-,-,123,-,51811,-,-
　　神　奈　川,40188,-,-,-,-,-,40188,-,-
　　新　　　潟,16098,-,110,210,-,73,15705,-,-
　　富　　　山,5460,-,-,-,-,-,5460,-,-
　　石　　　川,6046,-,-,-,-,-,6046,-,-
　　福　　　井,4521,-,-,-,-,86,4434,-,-
　　山　　　梨,3609,-,-,-,-,-,3609,-,-
　　長　　　野,11827,-,62,1787,-,453,9525,-,-
　　岐　　　阜,10499,-,89,89,-,122,10200,-,-
　　静　　　岡,17804,-,-,-,-,-,17804,-,-
　　愛　　　知,25886,-,275,-,-,-,25611,-,-
　　三　　　重,9724,-,53,548,-,-,9123,-,-
　　滋　　　賀,6495,-,-,-,-,62,6433,-,-
　　京　　　都,12043,-,-,-,-,-,12043,-,-
　　大　　　阪,34231,-,82,-,-,-,34149,-,-
　　兵　　　庫,25736,-,-,-,-,-,25736,-,-
　　奈　　　良,7738,-,-,59,-,35,7644,-,-
　　和　歌　山,5826,-,-,533,-,-,5293,-,-
　　鳥　　　取,2980,-,-,-,-,76,2904,-,-
　　島　　　根,4834,-,-,-,-,244,4590,-,-
　　岡　　　山,9866,-,52,52,-,-,9763,-,-
　　広　　　島,12412,-,86,-,-,32,12293,-,-
　　山　　　口,6556,-,-,-,-,-,6556,-,-
　　徳　　　島,3524,-,-,245,-,-,3280,-,-
　　香　　　川,5075,-,64,53,-,-,4958,-,-
　　愛　　　媛,6723,-,74,1062,-,-,5586,-,-
　　高　　　知,4204,-,386,732,-,-,3086,-,-
　　福　　　岡,22860,-,-,-,216,65,22579,-,-
　　佐　　　賀,3653,-,-,98,-,-,3554,-,-
　　長　　　崎,6462,-,-,-,-,-,6462,-,-
　　熊　　　本,7438,-,117,85,-,-,7236,-,-
　　大　　　分,4963,-,-,-,-,188,4775,-,-
　　宮　　　崎,5731,-,-,-,-,53,5678,-,-
　　鹿　児　島,10270,-,54,-,87,87,10042,-,-
　　沖　　　縄,4597,-,-,-,115,-,4482,-,-
