令和5年,介護サービス施設・事業所調査,令和5年10月１日,
閲覧表　介護保険施設,【詳細票】　第　１表　介護老人福祉施設数，都道府県、経営主体別
,総　数,都道府県,市区町村,広域連合・,日本赤十字社,社会福祉協議会,社会福祉法人,社団・財団法人,その他
,,,,一部事務組合,,,(社会福祉協議会以外),,
,,,,,,,,,
,,,,,,,,,
　　全　　　国,8548,-,48,82,9,68,8341,-,-
　　北　海　道,384,-,23,-,-,13,348,-,-
　　青　　　森,99,-,-,-,-,2,97,-,-
　　岩　　　手,125,-,1,-,1,1,122,-,-
　　宮　　　城,172,-,-,-,-,3,169,-,-
　　秋　　　田,124,-,3,5,-,9,107,-,-
　　山　　　形,105,-,-,-,-,1,104,-,-
　　福　　　島,168,-,-,-,-,-,168,-,-
　　茨　　　城,279,-,-,-,-,2,277,-,-
　　栃　　　木,148,-,-,-,-,-,148,-,-
　　群　　　馬,183,-,-,-,-,-,183,-,-
　　埼　　　玉,456,-,-,-,2,-,454,-,-
　　千　　　葉,447,-,1,1,-,2,443,-,-
　　東　　　京,587,-,-,-,1,-,586,-,-
　　神　奈　川,451,-,-,-,-,-,451,-,-
　　新　　　潟,216,-,1,2,-,2,211,-,-
　　富　　　山,85,-,-,-,-,-,85,-,-
　　石　　　川,77,-,-,-,-,-,77,-,-
　　福　　　井,69,-,-,-,-,2,67,-,-
　　山　　　梨,59,-,-,-,-,-,59,-,-
　　長　　　野,169,-,1,23,-,9,136,-,-
　　岐　　　阜,145,-,1,1,-,2,141,-,-
　　静　　　岡,257,-,-,-,-,-,257,-,-
　　愛　　　知,297,-,2,-,-,-,295,-,-
　　三　　　重,166,-,1,7,-,-,158,-,-
　　滋　　　賀,97,-,-,-,-,1,96,-,-
　　京　　　都,165,-,-,-,-,-,165,-,-
　　大　　　阪,446,-,1,-,-,-,445,-,-
　　兵　　　庫,368,-,-,-,-,-,368,-,-
　　奈　　　良,116,-,-,1,-,1,114,-,-
　　和　歌　山,94,-,-,8,-,-,86,-,-
　　鳥　　　取,44,-,-,-,-,1,43,-,-
　　島　　　根,92,-,-,-,-,8,84,-,-
　　岡　　　山,155,-,1,1,-,-,153,-,-
　　広　　　島,198,-,1,-,-,1,196,-,-
　　山　　　口,106,-,-,-,-,-,106,-,-
　　徳　　　島,66,-,-,3,-,-,63,-,-
　　香　　　川,90,-,1,1,-,-,88,-,-
　　愛　　　媛,110,-,1,15,-,-,94,-,-
　　高　　　知,59,-,5,10,-,-,44,-,-
　　福　　　岡,345,-,-,-,2,2,341,-,-
　　佐　　　賀,58,-,-,1,-,-,57,-,-
　　長　　　崎,122,-,-,-,-,-,122,-,-
　　熊　　　本,139,-,1,1,-,-,137,-,-
　　大　　　分,85,-,-,-,-,2,83,-,-
　　宮　　　崎,95,-,-,-,-,1,94,-,-
　　鹿　児　島,168,-,1,-,1,2,164,-,-
　　沖　　　縄,62,-,-,-,1,-,61,-,-
