令和5年,介護サービス施設・事業所調査,令和5年10月１日,
閲覧表　介護保険施設,【詳細票】　第１６表　介護老人福祉施設の従事者数，都道府県、職種（常勤（専従－兼務）－非常勤）別
,総　　数,,,,施 設 長,,,,医　　師,,,,歯科医師,,,,生活相談員,,,,社会福祉士(再掲),,,,看護師,,,,准看護師,,,,介護職員,,,,介護福祉士(再掲),,,,管理栄養士,,,,栄 養 士,,,,歯科衛生士,,,,機能訓練指導員,,,,理学療法士(再掲),,,,作業療法士(再掲),,,,言語聴覚士(再掲),,,,看護師(再掲),,,,准看護師(再掲),,,,柔道整復師(再掲),,,,あん摩ﾏｯｻｰｼﾞ指圧師(再掲),,,,はり師・きゅう師(再掲),,,,障害者生活支援員,,,,介護支援専門員,,,,調 理 員,,,,その他の職員,,,
,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤
,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,
　　全　　　国,492556,227148,125092,140316,8548,3423,5090,36,13070,185,277,12609,916,12,29,875,13941,6208,7316,417,3829,1730,1979,120,29723,11826,7835,10062,15340,5684,4860,4796,296882,165369,63327,68186,182875,112870,43211,26794,10914,5611,4636,667,2308,1040,1066,202,830,169,198,463,12634,3872,5712,3050,2629,1125,666,838,1411,664,448,300,329,110,110,109,3712,579,2178,955,2762,437,1746,578,1083,629,327,128,582,266,189,128,125,62,49,14,90,42,17,30,14171,5227,8344,600,23554,7008,6101,10445,49635,11472,10284,27879
　　北　海　道,20984,10371,5882,4731,384,143,239,2,503,2,10,490,17,-,1,16,683,290,375,19,232,105,122,5,1088,517,332,239,737,284,282,170,12951,7636,2970,2345,9001,5799,2204,998,421,222,185,14,93,40,48,5,21,4,2,15,590,174,323,92,62,39,17,6,60,36,18,6,15,4,8,2,201,29,133,39,197,25,137,35,40,30,6,3,10,6,3,1,4,4,-,-,1,1,-,-,682,236,425,21,795,246,230,320,2019,576,460,983
　　青　　　森,5442,2140,2269,1033,99,41,58,-,135,2,-,133,18,-,-,18,151,46,102,2,33,9,23,1,242,88,100,55,229,79,121,29,2783,1384,1075,324,1970,1001,839,129,91,48,38,4,66,21,39,5,9,2,5,2,191,44,112,34,20,7,3,10,17,7,4,6,5,2,2,1,74,9,52,13,58,10,44,3,8,5,2,1,9,4,5,-,-,-,-,-,1,1,-,-,196,30,164,2,483,166,217,100,748,186,237,324
　　岩　　　手,6847,3283,2329,1236,125,38,84,3,168,1,1,166,15,-,-,15,216,81,132,3,66,29,37,-,432,172,182,78,130,44,63,24,3862,2380,1035,447,2786,1874,768,143,131,55,67,9,63,22,40,1,10,2,-,8,219,51,140,28,23,15,3,4,19,8,6,5,-,-,-,-,108,8,88,11,47,4,38,5,12,9,2,1,9,6,2,1,1,-,1,-,1,-,1,-,207,71,135,1,399,140,163,95,869,225,286,358
　　宮　　　城,9199,5561,1867,1771,172,72,98,2,272,-,1,271,27,-,1,26,302,148,152,2,77,40,37,-,509,283,123,103,311,161,103,47,5470,4099,673,698,3481,2737,479,265,233,127,98,7,38,18,14,6,11,6,1,3,271,84,131,56,52,32,11,10,34,14,10,11,10,5,2,2,83,13,62,9,54,4,43,7,24,14,3,6,14,2,1,11,-,-,-,-,-,-,-,-,295,126,161,7,309,126,60,123,980,309,251,420
　　秋　　　田,6233,3156,2057,1020,124,47,75,1,183,1,2,180,3,-,-,3,190,64,126,-,52,16,36,-,418,215,130,73,176,81,72,23,3518,2180,996,342,2734,1820,782,133,108,57,44,6,68,30,33,4,8,3,4,-,162,23,115,24,11,2,6,2,14,6,5,2,3,-,3,-,82,9,60,13,44,2,37,5,4,2,2,-,3,1,1,1,-,-,-,-,1,1,-,-,206,73,127,5,436,176,160,100,633,205,170,258
　　山　　　形,6309,2738,2425,1146,105,18,87,-,185,-,7,178,19,-,1,18,190,52,136,2,65,25,41,-,352,148,143,61,181,42,103,36,3697,2147,1026,524,2782,1762,826,193,147,31,111,4,20,3,10,6,21,3,8,9,181,45,116,20,27,10,15,2,44,23,21,-,-,-,-,-,56,9,38,8,41,1,31,8,8,-,8,-,5,1,3,1,-,-,-,-,7,4,1,2,241,47,187,7,353,78,189,86,610,122,297,191
　　福　　　島,9578,5055,2666,1858,168,56,111,1,238,-,-,238,35,-,-,35,287,137,145,5,73,33,40,-,467,287,112,68,386,171,139,75,5772,3616,1333,823,3871,2560,1008,303,205,115,82,7,77,36,38,3,17,5,5,6,251,82,149,20,45,26,16,3,25,14,11,1,5,2,1,2,67,4,58,4,72,18,51,3,27,15,8,4,7,2,4,1,2,1,-,1,-,-,-,-,303,110,179,15,348,116,118,113,1024,322,254,448
